Trade.Agreement,HBTypeCode,Language,NorthSouth,Number,NumberMS,Sectoral,TypeDepth,TypeMemb,US_Partners,WTOListed,WTOTypeCode,Year,reg_africa,reg_americas,reg_asia,reg_europe,reg_intercontinental,reg_oceania,Nombre de normes,IAE,regioncon
220_China Hong Kong_2003,2.0,1.0,3.0,220,2.0,0.0,2.0,1.0,0,1.0,2,2003.0,0.0,0.0,1.0,0.0,0.0,0.0,5,1.0,Asia
221_China Macao_2003,2.0,1.0,3.0,221,2.0,0.0,2.0,1.0,0,1.0,2,2003.0,0.0,0.0,1.0,0.0,0.0,0.0,5,1.0,Asia
222_China_New_Zealand_2008,,1.0,2.0,222,2.0,0.0,2.0,1.0,0,1.0,2,2008.0,0.0,1.0,1.0,0.0,1.0,0.0,53,4.0,Intercontinental
224_China Pakistan_2006,2.0,1.0,3.0,224,2.0,0.0,2.0,1.0,0,1.0,2,2006.0,0.0,0.0,1.0,0.0,0.0,0.0,12,1.0,Asia
225_China Pakistan Services_2009,,1.0,3.0,225,2.0,0.0,4.0,1.0,0,1.0,2,2009.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,Asia
227_China Peru_2009,,1.0,3.0,227,2.0,0.0,2.0,1.0,1,1.0,2,2009.0,0.0,1.0,1.0,0.0,1.0,0.0,47,4.0,Intercontinental
228_China Singapore_2008,,1.0,3.0,228,2.0,0.0,2.0,1.0,1,1.0,2,2008.0,0.0,0.0,1.0,0.0,0.0,0.0,13,1.0,Asia
23_Andean Community Trujillo Protocol_1996,3.0,2.0,3.0,23,5.0,0.0,3.0,2.0,0,0.0,,1996.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,Americas
230_Colombia Costa Rica_1984,1.0,2.0,3.0,230,2.0,0.0,1.0,1.0,0,0.0,,1984.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,Americas
233_Colombia Cuba_2000,1.0,2.0,3.0,233,2.0,0.0,1.0,1.0,0,0.0,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1.0,Americas
234_Colombia EFTA_2008,,1.0,2.0,234,5.0,0.0,2.0,3.0,1,1.0,,2008.0,0.0,1.0,0.0,1.0,1.0,0.0,42,2.0,Intercontinental
235_Colombia El Salvador_1984,1.0,2.0,3.0,235,2.0,0.0,1.0,1.0,0,0.0,,1984.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,Americas
236_Colombia Guatemala_1984,1.0,2.0,3.0,236,2.0,0.0,1.0,1.0,0,0.0,,1984.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,Americas
237_Colombia  Honduras_1984,1.0,2.0,3.0,237,2.0,0.0,1.0,1.0,0,0.0,,1984.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,Americas
238_Colombia Nicaragua_1984,1.0,2.0,3.0,238,2.0,0.0,1.0,1.0,0,0.0,,1984.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,Americas
239_Colombia Northern Triangle_2007,,2.0,3.0,239,4.0,0.0,1.0,3.0,1,0.0,,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,25,2.0,Americas
24_Andean Countries Argentina_2000,1.0,2.0,3.0,24,5.0,0.0,1.0,3.0,0,0.0,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,6,1.0,Americas
240_Colombia Panama_1993,1.0,2.0,3.0,240,2.0,0.0,1.0,1.0,0,0.0,,1993.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,Americas
241_Colombia US_2006,,1.0,2.0,241,2.0,0.0,2.0,1.0,2,1.0,2,2006.0,0.0,1.0,0.0,0.0,0.0,0.0,101,6.0,Americas
242_Common Economic Zone_2003,,1.0,3.0,242,4.0,0.0,2.0,2.0,0,1.0,2,2003.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1.0,Intercontinental
243_Common Market for Eastern and Southern Africa (COMESA)_1993,3.0,1.0,3.0,243,23.0,0.0,2.0,2.0,0,1.0,2,1993.0,1.0,0.0,0.0,0.0,0.0,0.0,63,4.0,Africa
244_Commonwealth of Independent States (CIS)_1994,2.0,1.0,3.0,244,12.0,0.0,2.0,2.0,0,1.0,2,1994.0,0.0,0.0,1.0,1.0,1.0,0.0,6,1.0,Intercontinental
247_Costa Rica Mexico_1982,1.0,2.0,3.0,247,2.0,0.0,1.0,1.0,0,0.0,,1982.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,Americas
248_Costa Rica Mexico_1994,2.0,2.0,3.0,248,2.0,0.0,2.0,1.0,0,1.0,2,1994.0,0.0,1.0,0.0,0.0,0.0,0.0,37,3.0,Americas
249_Costa Rica Nicaragua Panama_1961,1.0,2.0,3.0,249,3.0,0.0,1.0,2.0,0,0.0,,1961.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,Americas
25_Andean Countries MERCOSUR_2004,1.0,2.0,3.0,25,7.0,0.0,1.0,4.0,0,0.0,,2004.0,0.0,1.0,0.0,0.0,0.0,0.0,7,1.0,Americas
25+1_Andean Countries MERCOSUR Venezuela accession_2006,,2.0,3.0,25+1,5.0,0.0,1.0,6.0,1,,,2006.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,
250_Costa Rica Panama_1973,1.0,1.0,3.0,250,2.0,0.0,1.0,1.0,0,0.0,,1973.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,Americas
251_Costa Rica Venezuela_1986,1.0,2.0,3.0,251,2.0,0.0,1.0,1.0,0,0.0,,1986.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,Americas
252_Cote d'Ivoire EC EPA_2009,,1.0,2.0,252,28.0,0.0,2.0,3.0,0,1.0,2,2008.0,1.0,0.0,0.0,1.0,1.0,0.0,17,3.0,Intercontinental
253_Cotonou Agreement_2000,1.0,1.0,2.0,253,91.0,0.0,1.0,4.0,0,0.0,,2000.0,1.0,0.0,0.0,1.0,1.0,1.0,48,4.0,Intercontinental
254_Croatia EC_2001,1.0,1.0,2.0,254,16.0,0.0,1.0,3.0,0,0.0,,2001.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1.0,Europe
255_Croatia EFTA_2001,2.0,1.0,2.0,255,5.0,0.0,2.0,3.0,0,1.0,2,2001.0,0.0,0.0,0.0,1.0,0.0,0.0,8,1.0,Europe
257_Croatia Lithuania_2002,,1.0,3.0,257,2.0,0.0,2.0,1.0,0,0.0,,2002.0,0.0,0.0,0.0,1.0,0.0,0.0,6,1.0,Europe
258_Croatia Macedonia_1997,2.0,1.0,3.0,258,2.0,0.0,2.0,1.0,0,1.0,2,1997.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1.0,Europe
259_Croatia Macedonia (amended)_2002,2.0,1.0,3.0,259,2.0,0.0,2.0,1.0,0,0.0,,2002.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1.0,Europe
26_Andean Group Cartagena Agreement_1969,1.0,1.0,3.0,26,5.0,0.0,1.0,2.0,0,0.0,,1969.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,Americas
260_Croatia Moldova_2004,2.0,1.0,3.0,260,2.0,0.0,2.0,1.0,0,1.0,2,2004.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1.0,Europe
261_Croatia Serbia Montenegro_2002,2.0,1.0,3.0,261,2.0,0.0,2.0,1.0,0,1.0,2,2002.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1.0,Europe
262_Croatia Slovenia_1997,2.0,1.0,3.0,262,2.0,0.0,2.0,1.0,0,1.0,2,1997.0,0.0,0.0,0.0,1.0,0.0,0.0,6,1.0,Europe
263_Croatia Turkey_2002,2.0,1.0,3.0,263,2.0,0.0,2.0,1.0,0,1.0,2,2002.0,0.0,0.0,1.0,1.0,1.0,0.0,5,1.0,Intercontinental
265_Cuba Ecuador_2000,1.0,2.0,3.0,265,2.0,0.0,1.0,1.0,0,0.0,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.0,Americas
266_Cuba Guatemala_1999,1.0,2.0,3.0,266,2.0,0.0,1.0,1.0,0,0.0,,1999.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,Americas
267_Cuba Mercosur_2006,1.0,2.0,3.0,267,5.0,0.0,1.0,3.0,0,0.0,,2006.0,0.0,1.0,0.0,0.0,0.0,0.0,6,1.0,Americas
268_Cuba Mexico_1985,1.0,2.0,3.0,268,2.0,0.0,1.0,1.0,1,0.0,,1985.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,Americas
269_Cuba Mexico_2000,1.0,2.0,3.0,269,2.0,0.0,1.0,1.0,1,0.0,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.0,Americas
27_Andean Group Quito Protocol_1987,2.0,2.0,3.0,27,5.0,0.0,3.0,2.0,0,1.0,3,1987.0,0.0,1.0,0.0,0.0,0.0,0.0,5,3.0,Americas
270_Cuba Paraguay_2000,1.0,2.0,3.0,270,2.0,0.0,1.0,1.0,0,0.0,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,7,1.0,Americas
273_Cuba Peru_2000,1.0,2.0,3.0,273,2.0,0.0,1.0,1.0,0,0.0,,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.0,Americas
275_Cuba Uruguay_1999,1.0,2.0,3.0,275,2.0,0.0,1.0,1.0,0,0.0,,1999.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.0,Americas
277_Cuba Venezuela_1999,1.0,2.0,3.0,277,2.0,0.0,1.0,1.0,0,0.0,,1999.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.0,Americas
278_Cyprus EC_1972,3.0,1.0,2.0,278,10.0,0.0,3.0,3.0,0,1.0,3,1972.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,Europe
279_Czech and Slovak Republic EFTA_1992,2.0,1.0,2.0,279,9.0,0.0,2.0,3.0,0,1.0,2,1992.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1.0,Europe
28_Andorra EC_1990,3.0,1.0,2.0,28,13.0,0.0,3.0,3.0,0,1.0,3,1990.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,Europe
280_Czech Republic EC_1993,2.0,1.0,2.0,280,13.0,0.0,2.0,3.0,0,1.0,2,1993.0,0.0,0.0,0.0,1.0,0.0,0.0,17,2.0,Europe
282_Czech Republic Estonia_1996,2.0,1.0,3.0,282,2.0,0.0,2.0,1.0,0,1.0,2,1996.0,0.0,0.0,0.0,1.0,0.0,0.0,6,1.0,Europe
283_Czech Republic Israel_1996,2.0,1.0,3.0,283,2.0,0.0,2.0,1.0,0,1.0,2,1996.0,0.0,0.0,1.0,1.0,1.0,0.0,4,1.0,Intercontinental
284_Czech Republic Latvia_1996,2.0,1.0,3.0,284,2.0,0.0,2.0,1.0,0,1.0,2,1996.0,0.0,0.0,0.0,1.0,0.0,0.0,6,1.0,Europe
285_Czech Republic Lithuania_1995,2.0,1.0,3.0,285,2.0,0.0,2.0,1.0,0,1.0,2,1995.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1.0,Europe
286_Czech Republic Romania_1994,,1.0,3.0,286,2.0,,2.0,1.0,0,1.0,,1994.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,
287_Czech Republic Slovakia_1992,3.0,1.0,3.0,287,2.0,0.0,3.0,1.0,0,1.0,3,1992.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1.0,Europe
288_Czech Republic Slovenia_1993,2.0,1.0,3.0,288,2.0,0.0,2.0,1.0,0,1.0,2,1993.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1.0,Europe
289_Czech Republic Turkey_1997,2.0,1.0,3.0,289,2.0,0.0,2.0,1.0,0,1.0,2,1997.0,1.0,0.0,1.0,1.0,1.0,0.0,5,1.0,Intercontinental
29_Arab Common Market_1964,1.0,1.0,3.0,29,4.0,0.0,3.0,2.0,0,1.0,3,1964.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1.0,Intercontinental
290_Czechoslovakia Finland_1974,2.0,1.0,2.0,290,2.0,0.0,2.0,1.0,0,1.0,2,1974.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,Europe
291_D8 PTA_2006,,1.0,3.0,291,8.0,0.0,1.0,2.0,0,0.0,,2006.0,1.0,0.0,1.0,0.0,1.0,0.0,5,1.0,Intercontinental
292_Dominican Republic Panama_1985,1.0,1.0,3.0,292,2.0,0.0,1.0,1.0,0,0.0,,1985.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,Americas
293_EC_1957,3.0,1.0,1.0,293,6.0,0.0,3.0,2.0,0,1.0,3,1957.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1.0,Europe
293+1_EC (9) Enlargement Conditions_1972,,1.0,1.0,293+1,9.0,0.0,,5.0,0,,,1972.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1.0,
293+1_EC (9) Enlargement Greece Protocol_1975,,1.0,1.0,293+1,10.0,0.0,,5.0,0,,,1975.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,
293+1_EC (9) Enlargement_1972,4.0,1.0,1.0,293+1,10.0,0.0,3.0,5.0,0,1.0,3,1972.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,
293+2_EC (10) Enlargement_1979,4.0,1.0,1.0,293+2,10.0,0.0,3.0,5.0,0,1.0,3,1979.0,0.0,0.0,0.0,1.0,0.0,0.0,6,1.0,
293+3_EC (12) Enlargement_1987,4.0,1.0,1.0,293+3,12.0,0.0,3.0,5.0,0,1.0,3,1985.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1.0,
3_African Economic Community_1991,,1.0,3.0,3,51.0,0.0,3.0,2.0,0,0.0,,1991.0,1.0,0.0,0.0,0.0,0.0,0.0,21,2.0,Africa
30_Arab Maghreb Union_1989,,4.0,3.0,30,5.0,0.0,5.0,2.0,0,0.0,,1989.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,Africa
300_EC Amsterdam_1997,,1.0,1.0,300,15.0,0.0,3.0,2.0,0,0.0,,1997.0,0.0,0.0,0.0,1.0,0.0,0.0,39,4.0,Europe
302_EC Egypt_1977,1.0,1.0,2.0,302,10.0,0.0,1.0,3.0,0,1.0,2,1977.0,1.0,0.0,0.0,1.0,1.0,0.0,3,1.0,Intercontinental
303_EC Egypt Agreement_1972,1.0,1.0,2.0,303,10.0,0.0,1.0,3.0,0,1.0,2,1972.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,Intercontinental
304_EC Egypt Euro-Med Association Agreement_2001,2.0,1.0,2.0,304,16.0,0.0,2.0,3.0,0,1.0,2,2001.0,1.0,0.0,0.0,1.0,1.0,0.0,21,3.0,Intercontinental
305_EC Estonia_1994,2.0,1.0,2.0,305,16.0,0.0,2.0,3.0,0,1.0,2,1994.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,Europe
306_EC Estonia Europe Agreement_1995,2.0,1.0,2.0,306,16.0,0.0,2.0,3.0,0,0.0,,1995.0,0.0,0.0,0.0,1.0,0.0,0.0,50,4.0,Europe
307_EC Faroe Islands_1996,2.0,1.0,2.0,307,16.0,0.0,2.0,3.0,0,1.0,2,1996.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,Europe
308_EC Faroe Islands_1991,2.0,1.0,1.0,308,13.0,0.0,2.0,3.0,0,1.0,2,1991.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,Europe
309_EC Finland_1972,2.0,1.0,1.0,309,10.0,0.0,2.0,3.0,0,1.0,2,1972.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,Europe
310_EC Greece Additional Protocol_1975,,1.0,1.0,310,10.0,0.0,2.0,3.0,0,1.0,,1975.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,Europe
311_EC Greece Association Agreement_1961,2.0,1.0,1.0,311,7.0,0.0,3.0,3.0,0,1.0,3,1961.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,Europe
312_EC Hungary_1991,2.0,1.0,2.0,312,13.0,0.0,2.0,3.0,0,1.0,2,1991.0,0.0,0.0,0.0,1.0,0.0,0.0,43,4.0,Europe
313_EC Iceland_1972,2.0,1.0,1.0,313,10.0,0.0,2.0,3.0,0,1.0,2,1972.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,Europe
314_EC Israel_1970,1.0,1.0,2.0,314,7.0,0.0,1.0,3.0,0,1.0,2,1970.0,0.0,0.0,1.0,1.0,1.0,0.0,1,1.0,Intercontinental
315_EC Israel_1975,2.0,1.0,2.0,315,10.0,0.0,2.0,3.0,0,1.0,2,1975.0,0.0,0.0,1.0,1.0,1.0,0.0,2,1.0,Intercontinental
316_EC Israel Euro-Med Association Agreement_1995,2.0,1.0,2.0,316,16.0,0.0,2.0,3.0,1,1.0,2,1995.0,0.0,0.0,1.0,1.0,1.0,0.0,17,2.0,Intercontinental
317_EC Jordan_1977,1.0,1.0,2.0,317,10.0,0.0,1.0,3.0,0,1.0,2,1977.0,0.0,0.0,1.0,1.0,1.0,0.0,3,1.0,Intercontinental
318_EC Jordan Euro-Med Association Agreement_1997,2.0,1.0,2.0,318,16.0,0.0,2.0,3.0,0,1.0,2,1997.0,0.0,0.0,1.0,1.0,1.0,0.0,16,2.0,Intercontinental
319_EC Latvia_1994,2.0,1.0,2.0,319,16.0,0.0,2.0,3.0,0,1.0,2,1994.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,Europe
32_Argentina Brazil_1986,1.0,2.0,3.0,32,2.0,0.0,1.0,1.0,0,0.0,,1986.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,Americas
320_EC Latvia Europe Agreement_1995,2.0,1.0,2.0,320,16.0,0.0,2.0,3.0,0,0.0,,1995.0,0.0,0.0,0.0,1.0,0.0,0.0,57,4.0,Europe
321_EC Lebanon_1972,1.0,1.0,2.0,321,10.0,0.0,1.0,3.0,0,1.0,2,1972.0,0.0,0.0,1.0,1.0,1.0,0.0,1,1.0,Intercontinental
322_EC Lebanon_1977,1.0,1.0,2.0,322,10.0,0.0,1.0,3.0,0,1.0,2,1977.0,0.0,0.0,1.0,1.0,1.0,0.0,2,1.0,Intercontinental
323_EC Lebanon Euro-Med Association Agreement_2002,,1.0,2.0,323,16.0,0.0,2.0,3.0,0,0.0,,2002.0,0.0,0.0,1.0,1.0,1.0,0.0,26,2.0,Intercontinental
324_EC Lisbon_2007,,1.0,1.0,324,27.0,0.0,3.0,2.0,0,0.0,,2007.0,0.0,0.0,0.0,1.0,0.0,0.0,17,3.0,Europe
325_EC Lithuania_1994,2.0,1.0,2.0,325,16.0,0.0,2.0,3.0,0,1.0,2,1994.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,Europe
326_EC Lithuania Europe Agreement_1995,2.0,1.0,2.0,326,16.0,0.0,2.0,3.0,0,0.0,,1995.0,0.0,0.0,0.0,1.0,0.0,0.0,52,4.0,Europe
327_EC Maastricht_1992,,1.0,1.0,327,12.0,0.0,3.0,2.0,0,0.0,,1992.0,0.0,0.0,0.0,1.0,0.0,0.0,30,3.0,Europe
327+1_EC Maastricht (15) Enlargement_1994,4.0,1.0,1.0,327+1,15.0,0.0,3.0,5.0,0,1.0,3,1994.0,0.0,0.0,0.0,1.0,0.0,0.0,34,3.0,
328_EC Macedonia SAA_2001,2.0,1.0,2.0,328,16.0,0.0,2.0,3.0,0,0.0,,2001.0,0.0,0.0,0.0,1.0,0.0,0.0,36,2.0,Europe
329_EC Malta_1970,3.0,1.0,2.0,329,7.0,0.0,3.0,3.0,0,1.0,3,1970.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,Europe
33_Argentina Brazil_1988,1.0,2.0,3.0,33,2.0,0.0,1.0,1.0,0,0.0,,1988.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,Americas
330_EC Mexico_2000,2.0,1.0,2.0,330,16.0,0.0,2.0,3.0,1,1.0,2,2000.0,0.0,1.0,0.0,1.0,1.0,0.0,6,1.0,Intercontinental
331_EC Montenegro SAA_2007,,1.0,2.0,331,28.0,0.0,2.0,3.0,0,0.0,,2007.0,0.0,0.0,0.0,1.0,0.0,0.0,35,2.0,Europe
332_EC Morocco_1976,1.0,1.0,2.0,332,10.0,0.0,1.0,3.0,0,1.0,2,1976.0,1.0,0.0,0.0,1.0,1.0,0.0,3,1.0,Intercontinental
333_EC Morocco Association Agreement_1969,1.0,1.0,2.0,333,7.0,0.0,1.0,3.0,0,1.0,2,1969.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,Intercontinental
334_EC Morocco Euro-Med Association Agreement_1996,2.0,1.0,2.0,334,16.0,0.0,2.0,3.0,0,1.0,2,1996.0,1.0,0.0,0.0,1.0,1.0,0.0,13,3.0,Intercontinental
335_EC Nice_2001,,1.0,1.0,335,15.0,0.0,3.0,2.0,0,0.0,,2001.0,0.0,0.0,0.0,1.0,0.0,0.0,37,4.0,Europe
335+1_EC Nice (25) Enlargement_2003,4.0,1.0,2.0,335+1,25.0,0.0,3.0,5.0,0,1.0,3,2003.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,
335+2_EC Nice (27) Enlargement_2005,4.0,1.0,2.0,335+2,27.0,0.0,3.0,5.0,0,1.0,3,2005.0,0.0,0.0,0.0,1.0,0.0,0.0,13,3.0,
335+3_EC (28) Enlargement_2011,,1.0,2.0,335+3,28.0,0.0,3.0,5.0,0,,,2011.0,0.0,0.0,0.0,1.0,0.0,0.0,10,3.0,
336_EC Norway_1973,2.0,1.0,1.0,336,10.0,0.0,2.0,3.0,0,1.0,2,1973.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,Europe
337_EC Poland_1991,2.0,1.0,2.0,337,13.0,0.0,2.0,3.0,0,1.0,2,1991.0,0.0,0.0,0.0,1.0,0.0,0.0,37,4.0,Europe
338_EC Portugal_1972,2.0,1.0,1.0,338,10.0,0.0,2.0,3.0,0,1.0,2,1972.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,Europe
339_EC Portugal Additional Protocol_1976,,1.0,1.0,339,10.0,0.0,2.0,3.0,0,1.0,2,1976.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,Europe
34_Argentina Brazil_1990,1.0,2.0,3.0,34,2.0,0.0,1.0,1.0,0,0.0,,1990.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1.0,Americas
340_EC Romania_1993,2.0,1.0,2.0,340,13.0,0.0,2.0,3.0,0,1.0,2,1993.0,0.0,0.0,0.0,1.0,0.0,0.0,45,3.0,Europe
341_EC San Marino_1991,3.0,1.0,1.0,341,13.0,0.0,3.0,3.0,0,1.0,3,1991.0,0.0,0.0,0.0,1.0,0.0,0.0,7,1.0,Europe
342_EC Serbia SAA_2008,,1.0,2.0,342,28.0,0.0,2.0,3.0,0,0.0,,2008.0,0.0,0.0,0.0,1.0,0.0,0.0,32,2.0,Europe
343_EC Single European Act_1986,,1.0,1.0,343,12.0,0.0,3.0,2.0,0,0.0,,1986.0,0.0,0.0,0.0,1.0,0.0,0.0,24,3.0,Europe
344_EC Slovakia_1993,2.0,1.0,2.0,344,13.0,0.0,2.0,3.0,0,1.0,2,1993.0,0.0,0.0,0.0,1.0,0.0,0.0,43,4.0,Europe
345_EC Slovenia_1993,1.0,1.0,2.0,345,13.0,0.0,1.0,3.0,0,1.0,2,1993.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1.0,Europe
346_EC Slovenia Europe Agreement_1996,2.0,1.0,2.0,346,16.0,0.0,2.0,3.0,0,0.0,,1996.0,0.0,0.0,0.0,1.0,0.0,0.0,50,3.0,Europe
347_EC South Africa_1999,2.0,1.0,2.0,347,16.0,0.0,2.0,3.0,0,1.0,2,1999.0,1.0,0.0,0.0,1.0,1.0,0.0,37,4.0,Intercontinental
348_EC Spain_1970,1.0,1.0,1.0,348,7.0,0.0,1.0,3.0,0,1.0,2,1970.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,Europe
349_EC Sweden_1972,2.0,1.0,1.0,349,10.0,0.0,2.0,3.0,0,1.0,2,1972.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,Europe
35_Argentina Chile_1991,1.0,2.0,3.0,35,2.0,0.0,1.0,1.0,0,0.0,,1991.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,Americas
350_EC Switzerland Liechtenstein_1972,2.0,1.0,1.0,350,11.0,0.0,2.0,3.0,0,1.0,2,1972.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1.0,Europe
351_EC Syria_1977,1.0,1.0,2.0,351,10.0,0.0,1.0,3.0,0,1.0,2,1977.0,0.0,0.0,1.0,1.0,1.0,0.0,3,1.0,Intercontinental
352_EC Tunisia_1976,1.0,1.0,2.0,352,10.0,0.0,1.0,3.0,0,1.0,2,1976.0,1.0,0.0,0.0,1.0,1.0,0.0,4,1.0,Intercontinental
353_EC Tunisia Association Agreement_1969,1.0,1.0,2.0,353,7.0,0.0,1.0,3.0,0,1.0,2,1969.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,Intercontinental
354_EC Tunisia Euro-Med Association Agreement_1995,2.0,1.0,2.0,354,16.0,0.0,2.0,3.0,0,1.0,2,1995.0,1.0,0.0,0.0,1.0,1.0,0.0,13,3.0,Intercontinental
355_EC Turkey_1995,3.0,1.0,2.0,355,16.0,0.0,3.0,3.0,0,1.0,3,1995.0,0.0,0.0,1.0,1.0,1.0,0.0,3,1.0,Intercontinental
356_EC Turkey Additional Protocol_1970,,1.0,2.0,356,7.0,0.0,2.0,3.0,0,1.0,2,1970.0,0.0,0.0,1.0,1.0,1.0,0.0,2,1.0,Intercontinental
357_EC Turkey Association Agreement (Ankara Agreement)_1963,1.0,1.0,2.0,357,7.0,0.0,1.0,3.0,0,1.0,2,1963.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1.0,Intercontinental
358_EC Turkey Supplementary Protocol_1973,,1.0,2.0,358,10.0,0.0,3.0,3.0,0,1.0,3,1973.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1.0,Intercontinental
359_EC Yugoslavia_1980,,1.0,2.0,359,11.0,0.0,2.0,3.0,0,1.0,2,1980.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1.0,Europe
36_Argentina Colombia_1988,1.0,2.0,3.0,36,2.0,0.0,1.0,1.0,0,0.0,,1988.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,Americas
360_Economic and Monetary Community of Central Africa (CEMAC)_1994,3.0,4.0,3.0,360,6.0,0.0,3.0,2.0,0,1.0,3,1994.0,1.0,0.0,0.0,0.0,0.0,0.0,17,2.0,Africa
361_Economic and Monetary Community of Central Africa (CEMAC) revised_2008,,4.0,3.0,361,6.0,0.0,3.0,2.0,0,0.0,,2008.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,Africa
363_Economic Community of Central African States (ECCAS-CEEAC)_1983,,1.0,3.0,363,10.0,0.0,3.0,2.0,0,0.0,,1983.0,1.0,0.0,0.0,0.0,0.0,0.0,9,3.0,Africa
366_Economic Community Of West African States (ECOWAS)_1975,3.0,1.0,3.0,366,14.0,0.0,3.0,2.0,0,0.0,,1975.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1.0,Africa
367_Economic Community Of West African States (ECOWAS)_1993,,1.0,3.0,367,15.0,0.0,3.0,2.0,0,1.0,3,1993.0,1.0,0.0,0.0,0.0,0.0,0.0,17,2.0,Africa
370_Economic Cooperation Organization (ECO) Preferences_1991,1.0,1.0,3.0,370,3.0,0.0,1.0,2.0,0,1.0,1,1991.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,Asia
